Folder,List,Task Name,Subtask Of,Priority,Description,Status
FILE,1. Upload & Download,FR-001: Upload File,,High,"POST /files/upload - Multer + fs, save to uploads/{user_id}/{category}/{uuid_filename}, create metadata in sys_files. MIME/size validation per category.",To Do
FILE,1. Upload & Download,FR-002: Download File,,High,"GET /files/:id/download - Check access, read from local filesystem, return stream. Check FileGuard before serving.",To Do
FILE,1. Upload & Download,FR-007: CV/Resume Upload,,High,"Allow PDF/DOC/DOCX up to 10MB under RESUME category. Only one active CV per user - new upload replaces previous (ACTIVE → REPLACED).",To Do
FILE,1. Upload & Download,FR-011: Batch Upload,,Medium,"POST /files/batch - Upload multiple files. Each checked individually for type/size. Partial success report.",To Do
FILE,2. File Management,FR-008: Create Folder,,Medium,"POST /files/folders - type=FOLDER, file_path=NULL. Unique name within parent. NameResolverUtil handles duplicates.",To Do
FILE,2. File Management,FR-010: Rename File/Folder,,Medium,"PATCH /files/:id - Name must be unique in parent. Duplicate gets numeric suffix (file(1).pdf). Audit log.",To Do
FILE,2. File Management,FR-012: Copy File,,Low,"POST /files/:id/copy - New record with same file_path (no physical copy). Handle name conflict at destination.",To Do
FILE,2. File Management,FR-013: Move File,,Medium,"POST /files/:id/move - Update parent_folder_id. Handle name conflict. Audit log.",To Do
FILE,2. File Management,FR-004: Delete File,,Medium,"DELETE /files/:id - Soft delete (status=DELETED, deleted_at), publish file.deleted event to RabbitMQ. FileWorker consumes and physically deletes.",To Do
FILE,3. Search & Browse,FR-003: List Files,,Medium,"GET /files - Query by user/employer/category with pagination. Filter by access control. Use sys_files indexes.",To Do
FILE,3. Search & Browse,FR-009: Search Files/Folders,,Medium,"GET /files/search - Full-text search via tsvector. Filters: category, mime_type, date range, owner, status. Paginated.",To Do
FILE,4. Access Control,FR-005: File Access Control (FileGuard),,High,"Guard middleware: check file ownership or RBAC (admin/HR in org). Applied on download, delete, rename endpoints.",To Do
FILE,4. Access Control,FR-014: Permission Management,,High,"PUT /files/:id/permissions - Admin manages VIEW/DOWNLOAD/EDIT/DELETE at user/role/org level. Inherit from parent folder.",To Do
FILE,4. Access Control,FR-015: Access History Logging,,Medium,"Log all file access events (view/download/edit/delete) to OpenSearch via LOG module. 90-day retention.",To Do
FILE,5. Storage Management,FR-016: Storage Usage Tracking,,Medium,"GET /files/storage-usage - Track by user/org. Cron job calculates total_size, file_count, category breakdown.",To Do
FILE,5. Storage Management,FR-017: Storage Quota Management,,Medium,"Admin sets max_total_size, max_file_count per user/org. Reject upload when exceeded. Warnings at 80%/95%.",To Do
FILE,5. Storage Management,FR-018: Storage Policy Configuration,,Low,"Admin configures per category: allowed MIME, max size, retention, encryption. Effective for new uploads only.",To Do
FILE,6. Background Jobs,FR-006: Temp File Cleanup,,Medium,"TempCleanupJob runs every hour. Delete files with status=TEMP and created_at > 24h. Physical delete via fs.unlink.",To Do
FILE,6. Background Jobs,FileWorker: Physical Delete,,Medium,"RabbitMQ consumer (queue: file.events). Physically deletes files from filesystem when file.deleted event received.",To Do
FILE,7. Database,Create sys_files table,,High,"UUID PK, employer_id, user_id, parent_folder_id, type, original_name, file_path, mime_type, file_size, category, is_public, status, search_vector, timestamps, deleted_at.",To Do
FILE,7. Database,Create sys_files indexes,,High,"user_id, employer_id, category, status, created_at, type, parent_folder_id, composite, full-text search (GIN), unique file_path.",To Do
FILE,7. Database,Create sys_file_permissions table,,High,"UUID PK, file_id (CASCADE), user_id, role, org_id, permission. CHECK: exactly one of user_id/role/org_id.",To Do
FILE,7. Database,Create sys_storage_usage table,,Medium,"UUID PK, user_id, org_id, total_size, file_count, last_calculated_at.",To Do
FILE,7. Database,Create sys_storage_quotas table,,Medium,"UUID PK, user_id, org_id, max_total_size, max_file_count.",To Do
FILE,7. Database,Create sys_storage_policies table,,Medium,"UUID PK, category (UNIQUE), allowed_mime_types (JSONB), max_file_size, retention_days, encryption_enabled.",To Do
FILE,8. Components,FileController,,High,"HTTP endpoints: upload, download, list, delete, copy, move, batch, search, folders, permissions, storage-usage.",To Do
FILE,8. Components,FileService,,High,"Business logic: validation, CRUD metadata, filesystem coordination. Publishes file.deleted event to RabbitMQ.",To Do
FILE,8. Components,FileGuard,,High,"Access control middleware: verify file ownership and RBAC before download/delete/rename.",To Do
FILE,8. Components,MulterUtil,,High,"Multer configuration: disk storage, file filter (MIME validation per category), size limits.",To Do
FILE,8. Components,FileUtil,,Medium,"Filesystem operations: readFile, unlink, copyFile. Wraps fs module with error handling.",To Do
FILE,8. Components,NameResolverUtil,,Medium,"Handle duplicate names by appending numeric suffix: file.pdf → file(1).pdf → file(2).pdf.",To Do
FILE,9. Integration,AUTH Module Integration,,High,"Sync API calls for identity verification and RBAC role checks. AuthGuard applied on all endpoints.",To Do
FILE,9. Integration,RabbitMQ Events,,High,"Queues: file.events. Events: file.deleted (physical cleanup), file.temp_cleanup (temp cleanup).",To Do
FILE,9. Integration,LOG Module Integration,,Medium,"Async via RabbitMQ (queue: log.events). Log file access audit events with traceId, userId, action.",To Do
FILE,10. NFR,Performance: Upload < 2s,,Medium,"Target: upload response < 2000ms for files <= 10MB. Benchmark and optimize.",To Do
FILE,10. NFR,Security: Access control < 100ms,,Medium,"FileGuard check latency < 100ms p95 per request.",To Do
FILE,10. NFR,Availability: 99.9% uptime,,Low,"Service uptime target 99.9%. Health checks, graceful shutdown.",To Do
FILE,10. NFR,Scalability: 100+ concurrent uploads,,Low,"Handle 100+ concurrent upload requests without degradation.",To Do
RECR,1. Đăng nhập & Đăng ký,FR-001: User Registration,,High,"POST /recr/auth/register - Create recr_users + recr_candidates. Email verification. Role: user.",To Do
RECR,1. Đăng nhập & Đăng ký,FR-002: Login (JWT),,High,"POST /recr/auth/login - Email/password, return JWT. Role-based access.",To Do
RECR,1. Đăng nhập & Đăng ký,FR-015: Employer Registration,,High,"POST /recr/auth/register - Create recr_users + recr_employers with company info.",To Do
RECR,1. Đăng nhập & Đăng ký,FR-032: Update HR Profile,,Medium,"PATCH /recr/hr/profile - Department, position, avatar.",To Do
RECR,1. Đăng nhập & Đăng ký,FR-033: Update Employer Profile,,Medium,"PATCH /recr/employer/profile - Company name, logo, description, industry.",To Do
RECR,2. Tổ chức (Organization),FR-073: Create Organization,,High,"POST /recr/orgs - Create org with name, slug (UNIQUE), description, industry, website, logo. 1 user = 1 org.",To Do
RECR,2. Tổ chức (Organization),FR-074: Check Slug Availability,,High,"GET /recr/orgs/check-slug?slug=xxx - Real-time check if slug is available.",To Do
RECR,2. Tổ chức (Organization),FR-075: View Organization Profile,,High,"GET /recr/orgs/:slug - Public org profile page with jobs list.",To Do
RECR,2. Tổ chức (Organization),FR-076: Update Organization,,Medium,"PATCH /recr/orgs/:id - Owner can update name, description, logo, website.",To Do
RECR,2. Tổ chức (Organization),FR-077: Invite HR to Organization,,High,"POST /recr/orgs/:id/invite - Owner invites HR via email. HR joins org.",To Do
RECR,2. Tổ chức (Organization),FR-078: Manage Org Members,,Medium,"GET/PATCH/DELETE /recr/orgs/:id/members - List, update role, remove members.",To Do
RECR,2. Tổ chức (Organization),OrgGuard: Validate Org Access,,High,"Guard middleware: check user belongs to org before posting jobs or managing members.",To Do
RECR,3. Hồ sơ Ứng viên,FR-006: Update Candidate Profile,,Medium,"PATCH /recr/candidate/profile - Skills, experience, salary expectations.",To Do
RECR,3. Hồ sơ Ứng viên,FR-007: Upload Resume (via FILE),,High,"POST /recr/candidate/resume - PDF/DOCX, max 10MB. Delegates to FILE module.",To Do
RECR,3. Hồ sơ Ứng viên,FR-008: Manage Resumes,,High,"GET/POST/DELETE /recr/candidate/resumes - List, upload, set primary, delete.",To Do
RECR,3. Hồ sơ Ứng viên,FR-052: Open to Work Toggle,,Medium,"PATCH /recr/candidate/profile/open-to-work - Boolean flag.",To Do
RECR,4. Tìm & Ứng tuyển Việc làm,FR-003: Browse Jobs,,High,"GET /recr/jobs - Public. Filter by location, salary, type, category. Paginated.",To Do
RECR,4. Tìm & Ứng tuyển Việc làm,FR-004: Submit Application,,High,"POST /recr/applications - With resume_file_id (frozen). Status: submitted.",To Do
RECR,4. Tìm & Ứng tuyển Việc làm,FR-005: View Application Status,,High,"GET /recr/candidate/applications - Track progress through stages.",To Do
RECR,4. Tìm & Ứng tuyển Việc làm,FR-009: Link Resume to Application,,High,"POST /recr/applications - resume_file_id frozen at submission time.",To Do
